Line ID,Line Name,Line Description,Control,Strain(s),Line Experimenter,Line Contact,Media,Assay ID,Assay Name,Type,Formal Type ID,Measurement Updated,X Units,Y Units,27.0
4386,C1-S1-B1.1-R1,None,F,JBEI-17784,,,2% Glucose,5454,C1-S1-B1.1-R1,AHR_ECOLI,,2018-05-09 00:18:54.760379+00:00,hours,,125.0
4386,C1-S1-B1.1-R1,None,F,JBEI-17784,,,2% Glucose,5454,C1-S1-B1.1-R1,LCFA_ECOLI,,2018-05-09 00:18:54.781147+00:00,hours,,111883.0
4386,C1-S1-B1.1-R1,None,F,JBEI-17784,,,2% Glucose,5454,C1-S1-B1.1-R1,"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",sp|Q41635|FATB_UMBCA,2018-05-09 00:18:54.801935+00:00,hours,,131969.0
4386,C1-S1-B1.1-R1,None,F,JBEI-17784,,,2% Glucose,5454,C1-S1-B1.1-R1,Fatty acyl-CoA reductase,sp|Q6F7B8|ACR1_ACIAD,2018-05-09 00:18:54.821907+00:00,hours,,0.0
4386,C1-S1-B1.1-R1,None,F,JBEI-17784,,,2% Glucose,5454,C1-S1-B1.1-R1,A1U2T0,tr|A1U2T0|A1U2T0_MARHV,2018-05-09 00:18:54.845020+00:00,hours,,1800.0
4386,C1-S1-B1.1-R1,None,F,JBEI-17784,,,2% Glucose,5454,C1-S1-B1.1-R1,A1U3L3,tr|A1U3L3|A1U3L3_MARHV,2018-05-09 00:18:54.865302+00:00,hours,,159144.0
4387,C1-S1-B1.1-R2,None,F,JBEI-17784,,,2% Glucose,5455,C1-S1-B1.1-R2,AHR_ECOLI,,2018-05-09 00:18:54.885289+00:00,hours,,0.0
4387,C1-S1-B1.1-R2,None,F,JBEI-17784,,,2% Glucose,5455,C1-S1-B1.1-R2,LCFA_ECOLI,,2018-05-09 00:18:54.905685+00:00,hours,,109006.0
4387,C1-S1-B1.1-R2,None,F,JBEI-17784,,,2% Glucose,5455,C1-S1-B1.1-R2,"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",sp|Q41635|FATB_UMBCA,2018-05-09 00:18:54.943655+00:00,hours,,155128.0
4387,C1-S1-B1.1-R2,None,F,JBEI-17784,,,2% Glucose,5455,C1-S1-B1.1-R2,Fatty acyl-CoA reductase,sp|Q6F7B8|ACR1_ACIAD,2018-05-09 00:18:54.990988+00:00,hours,,0.0
4387,C1-S1-B1.1-R2,None,F,JBEI-17784,,,2% Glucose,5455,C1-S1-B1.1-R2,A1U2T0,tr|A1U2T0|A1U2T0_MARHV,2018-05-09 00:18:55.032056+00:00,hours,,0.0
4387,C1-S1-B1.1-R2,None,F,JBEI-17784,,,2% Glucose,5455,C1-S1-B1.1-R2,A1U3L3,tr|A1U3L3|A1U3L3_MARHV,2018-05-09 00:18:55.088076+00:00,hours,,173165.0
4388,C1-S2-B1.1-R1,None,F,JBEI-17789,,,2% Glucose,5497,C1-S2-B1.1-R1,AHR_ECOLI,,2018-05-09 00:19:02.375565+00:00,hours,,530.0
4388,C1-S2-B1.1-R1,None,F,JBEI-17789,,,2% Glucose,5497,C1-S2-B1.1-R1,LCFA_ECOLI,,2018-05-09 00:19:02.398967+00:00,hours,,106977.0
4388,C1-S2-B1.1-R1,None,F,JBEI-17789,,,2% Glucose,5497,C1-S2-B1.1-R1,"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",sp|Q41635|FATB_UMBCA,2018-05-09 00:19:02.418821+00:00,hours,,123692.0
4388,C1-S2-B1.1-R1,None,F,JBEI-17789,,,2% Glucose,5497,C1-S2-B1.1-R1,Fatty acyl-CoA reductase,sp|Q6F7B8|ACR1_ACIAD,2018-05-09 00:19:02.438682+00:00,hours,,396.0
4388,C1-S2-B1.1-R1,None,F,JBEI-17789,,,2% Glucose,5497,C1-S2-B1.1-R1,A1U2T0,tr|A1U2T0|A1U2T0_MARHV,2018-05-09 00:19:02.459352+00:00,hours,,0.0
4388,C1-S2-B1.1-R1,None,F,JBEI-17789,,,2% Glucose,5497,C1-S2-B1.1-R1,A1U3L3,tr|A1U3L3|A1U3L3_MARHV,2018-05-09 00:19:02.479296+00:00,hours,,158408.0
4389,C1-S2-B1.1-R2,None,F,JBEI-17789,,,2% Glucose,5498,C1-S2-B1.1-R2,AHR_ECOLI,,2018-05-09 00:19:02.500659+00:00,hours,,470.0
4389,C1-S2-B1.1-R2,None,F,JBEI-17789,,,2% Glucose,5498,C1-S2-B1.1-R2,LCFA_ECOLI,,2018-05-09 00:19:02.520560+00:00,hours,,110415.0
